"PaymentID","OfferID","BankID","PaymentMode"
"934","19810","18",NULL
"935","19816","7",NULL
"936","19834","18",NULL
"937","19843","15",NULL
"938","19851","9",NULL
"939","20036","16",NULL
"940","20037","16",NULL
"941","20038","16",NULL
"942","20039","16",NULL
"943","20049","15",NULL
"944","20055","3",NULL
"945","20153","16",NULL
"946","20167","18",NULL
"947","20268","18",NULL
"948","20329","6",NULL
"949","20386","3",NULL
"950","20443","9",NULL
"951","20450","16",NULL
"952","20549","4",NULL
"953","20549","5",NULL
"954","20561","9",NULL
"955","20574","16",NULL
"956","20643","3",NULL
"957","20645","16",NULL
"958","20677","18",NULL
"959","20678","18",NULL
"960","20686","16",NULL
"961","20688","16",NULL
"962","20771","3",NULL
"963","20772","4",NULL
"964","20823","16",NULL
"965","20824","16",NULL
"966","20828","15",NULL
"967","20858","8",NULL
"968","20861","7",NULL
"969","20870","18",NULL
"970","20920","5",NULL
"971","20979","16",NULL
"972","20980","16",NULL
"973","20985","18",NULL
"974","21050","10",NULL
"975","21071","7",NULL
"976","21081","16",NULL
"977","21082","16",NULL
"978","21083","16",NULL
"979","21084","16",NULL
"980","21085","16",NULL
"981","21240","13",NULL
"982","21302","3",NULL
"983","21313","3",NULL
"984","21315","8",NULL
"985","21317","4",NULL
"986","21318","6",NULL
"987","21323","3",NULL
"988","21332","9",NULL
"989","21333","6",NULL
"990","21334","7",NULL
"991","21335","4",NULL
"992","21365","16",NULL
"993","21366","16",NULL
"994","21367","16",NULL
"995","21368","16",NULL
"996","21369","16",NULL
"997","21370","16",NULL
"998","21371","16",NULL
"999","21372","16",NULL
"1000","21373","16",NULL
"1001","21374","16",NULL
"1002","21375","16",NULL
"1003","21376","16",NULL
"1004","21377","16",NULL
"1005","21378","16",NULL
"1006","21379","16",NULL
"1007","21380","16",NULL
"1008","21381","16",NULL
"1009","21382","16",NULL
"1010","21383","16",NULL
"1011","21406","15",NULL
"1012","21648","3",NULL
"1013","21671","4",NULL
"1014","21676","16",NULL
"1015","21692","18",NULL
"1016","21728","3",NULL
"1017","21729","6",NULL
"1018","21767","16",NULL
"1019","21768","16",NULL
"1020","21805","3",NULL
"1021","21830","16",NULL
"1022","21879","4",NULL
"1023","21880","7",NULL
"1024","21881","6",NULL
"1025","21882","9",NULL
"1026","21892","16",NULL
"1027","21893","16",NULL
"1028","21894","16",NULL
"1029","21895","16",NULL
"1030","21896","16",NULL
"1031","21897","16",NULL
"1032","21898","16",NULL
"1033","21899","16",NULL
"1034","21900","16",NULL
"1035","21901","16",NULL
"1036","21902","16",NULL
"1037","21903","16",NULL
"1038","21904","16",NULL
"1039","21905","16",NULL
"1040","21906","16",NULL
"1041","21907","16",NULL
"1042","21925","16",NULL
"1043","21930","9",NULL
"1044","21931","8",NULL
"1045","22058","18",NULL
"1046","22086","18",NULL
"1047","22087","18",NULL
"1048","22088","18",NULL
"1049","22089","18",NULL
"1050","22090","18",NULL
